,longitude,latitude,tags,cluster
10,4.83294350649,45.7573766234,"{'illuminations': 13, 'bellecour': 14, '69': 17, 'lyon': 113, 'festivaloflights': 11, 'france': 51, 'lights': 21, 'fete': 10, 'lumi\xc3\xa8res': 27, 'placebellecour': 10, 'roue': 11, 'lumieres': 12, '2007': 16, 'rh\xc3\xb4nealpes': 23, 'nuit': 12, 'rhone': 10, 'fetedeslumieres': 19, 'light': 25, 'des': 20, 'f\xc3\xaate': 21, 'festival': 11, 'geotagged': 16, 'night': 17, '8d\xc3\xa9cembre': 29, 'rh\xc3\xb4ne': 15, '2009': 20, 'f\xc3\xaatedeslumi\xc3\xa8res': 54, 'f\xc3\xaatedeslumi\xc3\xa8res2009': 15}",10
11,4.83484342105,45.768,"{'8december': 15, 'h\xc3\xb4teldeville': 31, 'hoteldeville': 22, 'lumieres': 29, 'lumi\xc3\xa8re': 11, 'premierarrondissement': 15, '69': 16, 'lyon': 116, 'mairie': 16, '8dec': 15, 'festivaloflights': 24, 'france': 59, 'lights': 59, 'fete': 16, 'lumi\xc3\xa8res': 29, 'geotagged': 21, 'europe': 16, 'rh\xc3\xb4nealpes': 18, 'premier': 15, 'lyon1': 15, 'exchange': 21, 'nuit': 18, '69001': 15, '1er': 15, 'dec8': 15, 'grandlyon': 15, 'fetedeslumieres': 46, '1erarrondissement': 15, 'light': 42, 'december8th': 15, 'f\xc3\xaate': 30, 'festival': 21, 'december8': 15, '8thdecember': 15, 'night': 37, '8d\xc3\xa9cembre': 20, 'rh\xc3\xb4ne': 19, '2009': 32, 'f\xc3\xaatedeslumi\xc3\xa8res': 67, 'f\xc3\xaatedeslumi\xc3\xa8res2009': 15}",11
12,4.83347583893,45.765,"{'8december': 20, 'saintnizier': 10, 'festival': 17, '8decembre': 13, 'church': 30, 'cathedral': 18, 'lyon': 143, '8dec': 13, 'f\xc3\xaatedeslumi\xc3\xa8res': 51, 'lights': 30, 'festivaloflights': 17, 'deuxi\xc3\xa8mearrondissement': 20, 'france': 70, 'religion': 18, 'fete': 16, 'lumi\xc3\xa8res': 38, '8thdecember': 13, '2007': 27, 'europe': 15, 'rh\xc3\xb4nealpes': 24, 'lyon2': 20, '69002': 14, '2earrondissement': 20, 'lumiere': 14, '8d\xc3\xa9cembre': 26, 'dec8': 13, '2\xc3\xa8me': 20, 'grandlyon': 13, 'fetedeslumieres': 44, '69': 16, '2008': 23, 'cathedrale': 18, 'eglise': 20, 'light': 53, 'des': 11, 'december8th': 16, 'f\xc3\xaate': 21, '2e': 20, 'december8': 13, 'lumieres': 31, 'night': 23, '2\xc3\xa8mearrondissement': 20, 'rh\xc3\xb4ne': 16, '2009': 13, 'deuxi\xc3\xa8me': 20, 'f\xc3\xaatedeslumi\xc3\xa8res2009': 13}",12
13,4.82328148148,45.762,"{'8december': 49, 'des': 16, 'rh\xc3\xb4nealpes': 50, '5earrondissement': 49, 'lightfestival': 10, '69': 50, 'fourvi\xc3\xa8re': 23, 'jardindurosaire': 13, 'jardin': 13, 'lyon': 108, '8dec': 49, 'festivaloflights': 49, '5\xc3\xa8mearrondissement': 49, 'france': 71, 'lights': 54, 'lumi\xc3\xa8res': 69, '5e': 49, '8thdecember': 49, 'europe': 50, 'lyon5': 49, '69005': 49, 'cinqui\xc3\xa8mearrondissement': 49, 'dec8': 49, 'grandlyon': 49, 'gardens': 13, 'light': 52, '5\xc3\xa8me': 49, 'december8th': 49, 'rosaire': 13, 'f\xc3\xaate': 60, 'festival': 50, 'december8': 49, '8d\xc3\xa9cembre': 59, 'cinqui\xc3\xa8me': 49, 'rh\xc3\xb4ne': 53, '2009': 61, 'f\xc3\xaatedeslumi\xc3\xa8res': 76, 'f\xc3\xaatedeslumi\xc3\xa8res2009': 50}",13
14,4.8271,45.775,"{'lyon': 123, 'eglise': 40, 'light': 123, 'lumiere': 51, 'religion': 40, 'church': 40, 'cathedral': 40, 'fetedeslumieres': 123, 'lumieres': 72, 'cathedrale': 40}",14
15,4.8301553719,45.7601652893,"{'basilica': 19, 'vieuxlyon': 18, 'cinqui\xc3\xa8me': 18, 'cathedral': 20, 'fourvi\xc3\xa8re': 23, 'sa\xc3\xb4ne': 15, 'lyon': 90, '5\xc3\xa8mearrondissement': 18, 'france': 51, 'december2005': 10, 'lumi\xc3\xa8res': 30, '5e': 18, 'lyon5': 18, '69005': 18, 'cinqui\xc3\xa8mearrondissement': 18, 'saintjean': 21, 'f\xc3\xaatedeslumi\xc3\xa8res': 51, 'oldtown': 18, 'cath\xc3\xa9drale': 19, '5\xc3\xa8me': 18, 'f\xc3\xaate': 13, 'basilique': 12, 'lyonoldtown': 10, 'night': 12, '8d\xc3\xa9cembre': 13, '5earrondissement': 18, '2008': 13, 'river': 12, 'bayeux': 10, 'stjean': 19}",15
16,4.82705833333,45.7592666667,"{'sanctuary': 77, 'art': 77, 'sculpturemoderne': 77, 'thierryehrmann': 77, 'salamanderspirit': 77, 'demeureduchaos': 77, 'artistshouses': 77, 'organmuseumresearch': 77, 'proph\xc3\xa9tie': 77, 'graff': 77, 'taz': 77, 'attentat': 77, 'graffiti': 77, 'cyberpunk': 77, 'rawart': 77, 'portrait': 77, 'prophecy': 77, 'projection': 77, 'abodeofchaos': 77, 'artbrut': 77, 'container': 77, 'artprice': 77, 'saintromainaumontdor': 77, 'dadaisme': 77, 'sanctuaire': 77, 'chaos': 77, 'france': 86, 'organmuseum': 77, 'maisondartiste': 77, 'alchemy': 77, 'alchimie': 77, 'ddc': 77, '911': 77, 'groupeserveur': 77, 'palaisideal': 77, 'videoattack': 77, 'contemporaryart': 77, 'visionsonore': 77, 'symbol': 77, 'vanitas': 77, '999': 77, 'lyon': 102, 'lumi\xc3\xa8re': 79, 'postapocalyptique': 77, 'artsingulier': 77, 'facteurcheval': 77, 'peinture': 77, 'modernsculpture': 77, 'mystery': 77, 'landart': 77, 'lespritdelasalamandre': 77, 'painting': 77, 'sculpture': 77, 'cart1': 77, 'secret': 77, 'streetart': 77, 'light': 81, 'architecture': 77, 'night': 83, 'apocalypse': 77, 'ruins': 77, 'museum': 77, 'servergroup': 77, 'outsiderart': 77}",16
17,4.835951,45.75972,"{'lyon': 57, 'des': 14, 'nuit': 10, 'france': 16, 'lumi\xc3\xa8res': 12, 'f\xc3\xaatedeslumi\xc3\xa8res': 25, 'f\xc3\xaate': 13, 'lumieres': 14}",17
18,4.83180729167,45.7722395833,"{'lyon': 85, 'festivaloflights': 13, 'france': 49, 'lights': 13, 'lumi\xc3\xa8res': 16, 'lumieres': 14, 'europe': 14, 'rh\xc3\xb4nealpes': 26, 'croixrousse': 12, 'nuit': 15, '69001': 10, 'lumiere': 11, 'fetedeslumieres': 17, 'celebration': 10, 'light': 33, 'des': 10, 'f\xc3\xaate': 17, 'festival': 10, 'night': 30, '8d\xc3\xa9cembre': 10, 'rh\xc3\xb4ne': 14, '2009': 11, 'f\xc3\xaatedeslumi\xc3\xa8res': 37}",18
19,4.839825,45.7567159091,"{'berges': 21, 'lyon': 80, 'f\xc3\xaatedeslumi\xc3\xa8res': 48, 'guilloti\xc3\xa8re': 16, 'f\xc3\xaate': 19, 'nuit': 13, 'lumi\xc3\xa8re': 11, 'france': 39, 'lights': 12, 'rhone': 20, 'lumi\xc3\xa8res': 22, 'night': 21, '8d\xc3\xa9cembre': 11, 'lightfestival': 17, '2008': 10, 'fetedeslumieres': 18, 'pixel': 11, 'lumieres': 10, '2007': 28}",19
