,longitude,latitude,hashtags,date_taken,url,cluster
2988,4.834,45.768,"[light, night, lyon, lumieres, 2007, 8decembre, fetedeslumieres]",8/12/2007_1:12,http://farm3.staticflickr.com/2214/2120962153_386a5bb5a8_t.jpg,0
58288,4.8338,45.768,"[france, canon, lyon, rhone, fêtedeslumières, rhonealpes, presquîle, canoneos60d, formatpaysage, efs1585mmf3556isusm, quartierdesterreaux]",9/12/2012_22:12,http://farm9.staticflickr.com/8336/8374212178_3159b56349_t.jpg,0
49429,4.8335,45.767,"[color, night, lights, december, lyon, time, lumière, illuminations, illumination, 8, horloge, fête, temps, nuit, 2009, festivaloflights, couleur, décoration, lumières, immeuble, décembre, décor, spectacle, fêtedeslumières, 8décembre, pendule, lugdunum, rho?nealpes, jouonsavecletemps]",6/12/2009_23:3,http://farm3.staticflickr.com/2703/4167670728_88f4e179f3_t.jpg,0
18894,4.8339,45.768,"[light, france, night, nikon, lyon, lumière, f, fête, nuit, d90, rhônealpes, nikond90]",8/12/2012_22:31,http://farm9.staticflickr.com/8479/8266754619_fd20ecf088_t.jpg,0
17523,4.8334,45.768,"[france, place, lyon, sortie, fêtedeslumières, lightfestival, terreaux, 2011, transenocturne]",8/12/2011_22:6,http://farm8.staticflickr.com/7013/6751048551_99fdd9c8d2_t.jpg,0
42792,4.8335,45.767,"[lyon, 2008, lumières]",7/12/2008_22:5,http://farm4.staticflickr.com/3160/3095750627_45ae6a8551_t.jpg,0
24719,4.8331,45.767,"[world, city, nightphotography, light, people, france, building, museum, night, town, dance, europe, cityscape, nightscape, lyon, cityhall, festivaloflights, fêtedeslumières, placedesterreaux, rhonealpes, rhônealpes, muséedesbeauxarts, presquïle]",9/12/2012_19:59,http://farm8.staticflickr.com/7369/8781871987_7893b28b62_t.jpg,0
41396,4.8335,45.768,"[horses, fountain, colors, night, lights, lyon, fêtedeslumières, bartholdi, placedesterreaux, frigno]",9/12/2010_19:11,http://farm6.staticflickr.com/5090/5322045034_da5950d973_t.jpg,0
21826,4.8335,45.767,[],6/12/2012_20:24,http://farm3.staticflickr.com/2881/8877275993_886e3f25db_t.jpg,0
19573,4.8334,45.767,"[blue, red, france, colour, yellow, night, jaune, rouge, disco, lyon, pentax, outdoor, sigma, bleu, sphere, nuit, couleur, 2007, fêtedeslumières, aficionados, 8décembre, placedesterreaux, exterieur, sphère, k10d, pentaxk10d, 1850mmf28exdcmacro, colourartaward, artlegacy, cyrilbreton|photographie]",8/12/2007_23:42,http://farm3.staticflickr.com/2158/2110055089_ebddd03d04_t.jpg,0
