,longitude,latitude,tags,cluster
0,4.83376009725,45.7674356407,None,0
1,4.82695870243,45.7609660012,None,1
2,4.82255480265,45.7623003842,None,2
3,4.83192536443,45.7583502707,None,3
4,4.83559185393,45.7678843633,None,4
5,4.82898664085,45.7592381413,None,5
6,4.82741588732,45.762771831,None,6
7,4.83467557942,45.7601661956,None,7
8,4.83219188847,45.7605804816,None,8
9,4.83438597384,45.7645276163,None,9
10,4.82922570016,45.7689324547,None,10
11,4.82771293488,45.7649928635,None,11
12,4.831977,45.7710172727,None,12
13,4.8305531015,45.7278101504,None,13
14,4.83980991649,45.7566920668,None,14
15,4.826164819,45.7581346154,None,15
16,4.87260215909,45.7810056818,None,16
17,4.80643046595,45.7742664277,None,17
18,4.82854145141,45.7670565806,None,18
19,4.81985730994,45.759878655,None,19
20,4.83031656347,45.7669551084,None,20
21,4.83500413223,45.7711289256,None,21
22,4.85365278246,45.7847976391,None,22
23,4.83632410072,45.7699406475,None,23
24,4.87586865672,45.7679981343,None,24
25,4.85729081633,45.7614755102,None,25
26,4.85171443299,45.773142268,None,26
27,4.85585678497,45.7738810021,None,27
28,4.86066289308,45.7840167715,None,28
29,4.87824423077,45.7791057692,None,29
30,4.84051073171,45.7615390244,None,30
31,4.83512075949,45.7744202532,None,31
32,4.85070717949,45.7629512821,None,32
33,4.85518917526,45.7769561856,None,33
34,4.83182066116,45.7738980716,None,34
35,4.82029444444,45.7420027778,None,35
36,4.84074636872,45.7653715084,None,36
37,4.82564090909,45.7488409091,None,37
38,4.82587447447,45.7701981982,None,38
39,4.85335766871,45.7614631902,None,39
40,4.87081230769,45.7450061538,None,40
41,4.82511046154,45.7296030769,None,41
42,4.84536481481,45.7771820988,None,42
43,4.81531481481,45.741808642,None,43
44,4.8591745283,45.7608113208,None,44
45,4.85568,45.7819516129,None,45
46,4.82743300971,45.7744595469,None,46
47,4.86900463576,45.7844701987,None,47
48,4.81464125874,45.7400699301,None,48
49,4.82825957447,45.7531808511,None,49
50,4.82797399267,45.7510805861,None,50
51,4.81715655431,45.7414344569,None,51
52,4.81481011236,45.7380561798,None,52
53,4.87491583012,45.7836023166,None,53
54,4.84110926641,45.7686177606,None,54
55,4.87950691057,45.7666788618,None,55
56,4.82151982759,45.7576293103,None,56
57,4.85026376147,45.7810366972,None,57
58,4.84707370892,45.7603098592,None,58
59,4.83863601896,45.735957346,None,59
60,4.83115592417,45.7549478673,None,60
61,4.83658164251,45.7518550725,None,61
62,4.86528613861,45.7813415842,None,62
63,4.8420761194,45.7457960199,None,63
64,4.82653451777,45.7538680203,None,64
65,4.83434820513,45.7332666667,None,65
66,4.82337368421,45.7237052632,None,66
67,4.84349027027,45.7518648649,None,67
68,4.80881648352,45.772043956,None,68
69,4.85000457143,45.7499942857,None,69
70,4.81739578313,45.7679156627,None,70
71,4.85688727273,45.7654606061,None,71
72,4.80297469136,45.7490061728,None,72
73,4.82293116883,45.7682597403,None,73
74,4.8434625,45.7550208333,None,74
75,4.85531197183,45.736,None,75
76,4.87882028986,45.7688478261,None,76
77,4.81791515152,45.7321893939,None,77
78,4.82556615385,45.7210076923,None,78
79,4.82124728682,45.7676589147,None,79
80,4.8379032,45.754032,None,80
81,4.85745853659,45.7850487805,None,81
82,4.82049666667,45.7510083333,None,82
83,4.81573781513,45.7285210084,None,83
84,4.81854210526,45.7371754386,None,84
85,4.82758672566,45.7788053097,None,85
86,4.87596017699,45.7202654867,None,86
87,4.8315699115,45.7808318584,None,87
88,4.85366636364,45.7588909091,None,88
89,4.86478181818,45.7381545455,None,89
90,4.83355092593,45.7483611111,None,90
91,4.87827075472,45.7833490566,None,91
92,4.84485098039,45.7506470588,None,92
93,4.85919393939,45.7672020202,None,93
94,4.83427040816,45.7530918367,None,94
95,4.88915108696,45.753923913,None,95
96,4.85894719101,45.754988764,None,96
97,4.83232272727,45.7308181818,None,97
98,4.81088571429,45.7160119048,None,98
99,4.86464166667,45.7495238095,None,99
100,4.86010119048,45.7691071429,None,100
101,4.86693918919,45.7539594595,None,101
102,4.80922054795,45.7536849315,None,102
103,4.83205616438,45.7240684932,None,103
104,4.82147916667,45.7552083333,None,104
105,4.88118115942,45.7419855072,None,105
106,4.85353529412,45.75175,None,106
107,4.82392575758,45.7516515152,None,107
108,4.82279848485,45.7452121212,None,108
109,4.8078220339,45.7439830508,None,109
110,4.83657288136,45.7375423729,None,110
111,4.81602777778,45.7642592593,None,111
112,4.88601764706,45.7540588235,None,112
113,4.882,45.7847959184,None,113
114,4.86722708333,45.7640208333,None,114
115,4.85599318182,45.7692272727,None,115
116,4.88395,45.76,None,116
117,4.87389411765,45.7340588235,None,117
118,4.86158529412,45.738,None,118
